spec_id,source_file,score_label,score_column,model_family,rule,q,gate_type,threshold,z_threshold,one_way_cost_bps,split,months,net_annualized_return,net_annualized_volatility,net_sharpe,gross_annualized_return,gross_annualized_volatility,gross_sharpe,max_drawdown,average_drawdown,average_monthly_turnover,average_gross_exposure,average_net_exposure,exposure_normalized_annualized_return,exposure_normalized_sharpe,average_n_long,average_n_short,min_n_long,min_n_short,annualized_alpha,beta,alpha_tstat,alpha_beta_months,mean_rank_ic,rank_ic_tstat,rank_ic_hit_rate,rank_ic_months,comparison_role,validation_rank
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_er_train,score_small_random_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,test,107,0.29057466952374833,0.2182230195670089,1.3315491193380846,0.3198992917994359,0.21824993781602806,1.4657474590856117,-0.34749020265878683,-0.039231972964347044,0.7644087637422389,1.5999999999999996,1.0,0.18017364746533948,1.3210239530024595,1624.7570093457944,42.45794392523364,1417,3,0.1575440727112481,0.8212749849780993,2.5451079004301502,107,0.048017321331156784,5.907811814572144,0.6542056074766355,107,top_validation,6
temporal_tabular_backtest__small_random_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_er_train,score_small_random_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,validation,60,0.36732542414502634,0.16350634612212525,2.2465514816817302,0.40132439791568575,0.1634036144087389,2.4560313391343365,-0.13962095865241664,-0.01376559136660464,0.8396351209091322,1.5999999999999994,1.0,0.22088066595655298,2.161439442029476,1351.5166666666667,15.383333333333333,1302,1,0.26338473708219273,0.5373970114888449,3.6983831641779283,60,0.058305597735209526,5.172353054817317,0.7333333333333333,60,top_validation,6
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,gross_normalized_long_short,0.2,absolute,0.01,,25.0,test,107,0.5899006332009455,0.2239853205358985,2.6336575619758134,0.6380368197945168,0.2242367522071444,2.8453713029392884,-0.13076031625724815,-0.018319976895508586,1.0344194837614742,0.9672897196261683,0.032710280373831786,0.6217803261650197,2.7461139602198337,1624.7570093457944,42.08411214953271,1417,0,0.45504198127823603,0.2728493034928095,5.917518006087932,107,0.0742884048601147,6.905043154920014,0.7757009345794392,107,top_validation,7
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,gross_normalized_long_short,0.2,absolute,0.01,,25.0,validation,60,0.673703312848954,0.34509875057333833,1.9522044392501579,0.7219968170544984,0.3449940162727114,2.092780694734639,-0.30302991154686043,-0.048965200672324356,0.9850988449184507,0.9166666666666666,0.08333333333333334,0.7019031989798872,1.9797950919805016,1351.5166666666667,4.35,1302,0,0.5295067216827807,0.42737609736481547,3.2852220685052895,60,0.04105012226735031,2.531479926636879,0.7,60,top_validation,7
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,gross_normalized_long_short,0.1,absolute,0.01,,25.0,test,107,0.5870828267565189,0.22523859735485974,2.60649299743054,0.6393092810854781,0.22553610684414074,2.834620540502989,-0.13192798220110957,-0.01902014049657075,1.1229321829781658,0.9672897196261683,0.03271028037383179,0.6165387338238588,2.7172186166878634,812.6168224299065,42.08411214953271,709,0,0.45382848752878024,0.2705106839710457,5.865852257208718,107,0.0742884048601147,6.905043154920014,0.7757009345794392,107,top_validation,8
temporal_tabular_backtest__small_mlp_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,gross_normalized_long_short,0.1,absolute,0.01,,25.0,validation,60,0.6701800067970927,0.34512830819227613,1.9418285631433205,0.7231092865419104,0.345036369598774,2.095748014572432,-0.3029136661765587,-0.04907734175339249,1.080648230416457,0.9166666666666666,0.08333333333333333,0.7002306114724692,1.9676666516578123,676.0333333333333,4.35,651,0,0.525996532197897,0.4381543326766089,3.264956349782513,60,0.04105012226735031,2.531479926636879,0.7,60,top_validation,8
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.2,absolute,0.02,,25.0,test,107,0.14561107939578033,0.15322771685553493,0.950292038437565,0.16116870366892133,0.1532360258081861,1.0517677081410672,-0.30132571422749577,-0.039614512667881095,0.45466872486428833,1.5999999999999996,1.0,0.09192868332384485,0.959917019822375,1616.0747663551401,1415.018691588785,908,836,0.03201861007435641,0.7708371470663715,0.9578764323101542,107,0.08967175349916962,7.052654125961678,0.8037383177570093,107,top_validation,9
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.2__absolute__thr0.02__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_random_classifier,score_small_random_classifier,TTT,long_short_130_30,0.2,absolute,0.02,,25.0,validation,60,0.17574144850749374,0.09980473921278837,1.7608527399966925,0.1933153843617319,0.09961207764378388,1.9406821836708816,-0.09923481113351418,-0.009588066672909549,0.5007268067733759,1.5999999999999994,1.0,0.10801451027929132,1.731613326281019,1349.0333333333333,988.9666666666667,1170,699,0.08197537056636413,0.6903348800014508,2.9772479788623096,60,0.09313225421719075,6.503703461364478,0.8166666666666667,60,top_validation,9
temporal_tabular_backtest__small_mlp_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,test,107,0.48178165753491276,0.26248682161258785,1.8354508412082824,0.536023641484366,0.26278414455147364,2.03978684634594,-0.38459173479559994,-0.02739281377350039,1.2392374546151248,1.5803738317757008,1.019626168224299,0.3000517511508678,1.796226534053099,1624.7570093457944,42.08411214953271,1417,0,0.231126065230841,1.3364016561899688,4.115374697062512,107,0.0742884048601147,6.905043154920014,0.7757009345794392,107,top_validation,10
temporal_tabular_backtest__small_mlp_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,temporal_tabular_backtest_predictions.parquet,temporal_tabular_backtest__small_mlp_warmstart_er_train,score_small_mlp_warmstart_er_train,TTT,long_short_130_30,0.2,absolute,0.01,,25.0,validation,60,0.4799224213110529,0.2752796483739878,1.7433995725649967,0.5341131773102972,0.2752604857932116,1.9403917557260568,-0.24587286129089214,-0.0404072579991641,1.236995098379554,1.5499999999999996,1.0499999999999998,0.29826936538332105,1.6366615850107524,1351.5166666666667,4.35,1302,0,0.24301587710984307,1.5401431228219888,2.47876797611354,60,0.04105012226735031,2.531479926636879,0.7,60,top_validation,10
