split,overlay_method,method_label,n_specs,mean_delta_return,median_delta_return,mean_delta_volatility,median_delta_volatility,mean_delta_sharpe,median_delta_sharpe,mean_delta_average_drawdown,median_delta_average_drawdown,mean_delta_max_drawdown,median_delta_max_drawdown,mean_delta_terminal_wealth,median_delta_terminal_wealth,mean_overlay_lambda,mean_months_below_full_exposure,share_return_improved,share_volatility_reduced,share_sharpe_improved,share_average_drawdown_improved,share_max_drawdown_improved
test,dd_speed_phase_control,DD speed/phase,300,-0.02660007463605908,-0.029178637396241713,-0.029093833123277606,-0.028206145499375723,-0.015596483059575294,-0.019686036879267066,0.005659398836979568,0.004399700051854128,0.09554858273239437,0.09921394502138348,-0.8568399645712397,-0.6563266623172526,0.8760678146994345,45.24,0.03,1.0,0.45,0.6933333333333334,0.9933333333333333
test,dd_speed_phase_vol_target,DD speed/phase + vol target,300,-0.03274273288169736,-0.032867205007847455,-0.037508914067688484,-0.0378853286820921,-0.002896003717442929,-0.0012403682606519362,0.005509146279038675,0.004613920343261441,0.1302629082924401,0.12936398202808852,-1.0986528308001542,-0.7320929288409697,0.8258256986480792,55.29666666666667,0.03,1.0,0.49666666666666665,0.7266666666666667,0.9966666666666667
validation,dd_speed_phase_control,DD speed/phase,300,-0.022594322221574502,-0.021100138952424796,-0.017415805097550956,-0.017554481048453183,-0.005838166120474219,-0.013228008492068621,-0.0007271068201726486,-0.00016552865367541747,0.0343910598862015,0.030400639167143362,-0.24778540914913919,-0.1777863633157084,0.9084388888888888,21.8,0.02,1.0,0.4766666666666667,0.42333333333333334,0.9666666666666667
validation,dd_speed_phase_vol_target,DD speed/phase + vol target,300,-0.039981749647958094,-0.038425159903417994,-0.021435507506588413,-0.022088109355921808,-0.12689597244456036,-0.12005784519388718,-0.0038842551180725163,-0.0026587557563992545,0.03483890719430633,0.031149044385038627,-0.40445813239965395,-0.32406684233646044,0.8524634990225354,29.563333333333333,0.0,1.0,0.15,0.07,0.98
