spec_id,split,model_family,score_label,rule,q,gate_type,threshold,z_threshold,validation_rank,overlay_method,method_label,overlay_average_lambda,overlay_min_lambda,overlay_months_below_full_exposure,overlay_months_vol_cap_binding,overlay_average_turnover,overlay_average_trading_cost,base_months,base_annualized_return,base_annualized_volatility,base_sharpe,base_average_drawdown,base_max_drawdown,base_terminal_wealth,overlay_months,overlay_annualized_return,overlay_annualized_volatility,overlay_sharpe,overlay_average_drawdown,overlay_max_drawdown,overlay_terminal_wealth,delta_annualized_return,delta_annualized_volatility,delta_sharpe,delta_average_drawdown,delta_max_drawdown,delta_terminal_wealth
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.1,absolute,0.01,,1,dd_speed_phase_control,DD speed/phase,0.9271028037383177,0.5,24,0,0.8116501016467561,0.0020291252541168904,107,0.3881190123382554,0.27048497492842655,1.4349004503520248,-0.0996315754662652,-0.6283316874450604,18.619646486874288,107,0.4152015746061346,0.22997566540876954,1.8054152549928961,-0.06723759212620015,-0.43960526381200793,22.120581331932662,0.027082562267879196,-0.040509309519657005,0.3705148046408713,0.03239398334006505,0.18872642363305248,3.5009348450583744
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.1,absolute,0.01,,1,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8954843892051966,0.19321401152013387,31,16,0.7915719034799905,0.001978929758699976,107,0.3881190123382554,0.27048497492842655,1.4349004503520248,-0.0996315754662652,-0.6283316874450604,18.619646486874288,107,0.42980145006727977,0.21801411771832396,1.971438614001075,-0.05975936448642105,-0.36140463572463466,24.24052124188385,0.04168243772902436,-0.052470857210102584,0.53653816364905,0.03987221097984414,0.26692705172042575,5.620874755009563
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.1,absolute,0.01,,1,dd_speed_phase_control,DD speed/phase,0.9433333333333332,0.5,13,0,0.8279384378945435,0.0020698460947363596,60,0.711399355988638,0.29134059159125797,2.4418133844758225,-0.03066232853029475,-0.27511176256738756,14.681039972272801,60,0.6619900170014175,0.28088944706700225,2.3567635734051233,-0.038804943369094014,-0.27511176256738756,12.680665717203665,-0.04940933898722055,-0.010451144524255718,-0.0850498110706992,-0.008142614838799262,0.0,-2.0003742550691364
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.1__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.1,absolute,0.01,,1,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8948243590415742,0.2380574698287137,20,11,0.8025772246997057,0.0020064430617492647,60,0.711399355988638,0.29134059159125797,2.4418133844758225,-0.03066232853029475,-0.27511176256738756,14.681039972272801,60,0.6373647668149773,0.27381543277423526,2.327716741008144,-0.04169582416507715,-0.27511176256738756,11.768665105316192,-0.07403458917366068,-0.017525158817022712,-0.11409664346767867,-0.011033495634782401,0.0,-2.9123748669566094
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.2,absolute,0.01,,2,dd_speed_phase_control,DD speed/phase,0.9271028037383177,0.5,24,0,0.7557039352931176,0.001889259838232794,107,0.3832746197906991,0.26859341096556083,1.42696955376855,-0.10104351167965239,-0.6269217259288726,18.048175696856536,107,0.41048357136134705,0.22795381810734075,1.800731283070921,-0.06745148999952234,-0.43745945741263204,21.471626925678084,0.027208951570647955,-0.04063959285822008,0.37376172930237095,0.03359202168013005,0.1894622685162406,3.4234512288215484
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.2,absolute,0.01,,2,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8969301936287485,0.19798969683336592,30,15,0.7386405543489428,0.001846601385872357,107,0.3832746197906991,0.26859341096556083,1.42696955376855,-0.10104351167965239,-0.6269217259288726,18.048175696856536,107,0.42475573900119623,0.21634125430366546,1.9633598795955562,-0.05997463442226653,-0.36141134764702454,23.48832426484423,0.04148111921049713,-0.052252156661895366,0.5363903258270062,0.04106887725738586,0.2655103782818481,5.440148567987695
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.2,absolute,0.01,,2,dd_speed_phase_control,DD speed/phase,0.9433333333333332,0.5,13,0,0.7770393670894489,0.0019425984177236224,60,0.7051599929314218,0.29018223249674485,2.4300591626998806,-0.030275508542054994,-0.27280927630850893,14.415365973485846,60,0.656018144425166,0.2795092752967146,2.347035330862514,-0.038399973504740045,-0.27280927630850893,12.454475838537123,-0.0491418485062558,-0.010672957200030253,-0.08302383183736683,-0.008124464962685051,0.0,-1.9608901349487233
temporal_tabular_backtest__small_ft_warmstart_er_train__gross_normalized_long_short__q0.2__absolute__thr0.01__zna__cost25,validation,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,gross_normalized_long_short,0.2,absolute,0.01,,2,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8944003306417735,0.23888196219043215,21,12,0.754165809842906,0.0018854145246072652,60,0.7051599929314218,0.29018223249674485,2.4300591626998806,-0.030275508542054994,-0.27280927630850893,14.415365973485846,60,0.6319380143790059,0.27248944339739734,2.3191284275089896,-0.041442077015902905,-0.2728092763085088,11.574927913481812,-0.07322197855241597,-0.017692789099347517,-0.11093073519089103,-0.01116656847384791,1.1102230246251565e-16,-2.8404380600040344
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,0.1,absolute,0.01,,3,dd_speed_phase_control,DD speed/phase,0.9406542056074767,0.5,22,0,0.9687023964374127,0.0024217559910935317,107,0.39088160510489844,0.2203082653821661,1.7742484805408494,-0.03425050937282227,-0.33821042065595386,18.952679749696433,107,0.35905390195094267,0.18715969737627114,1.918436004035049,-0.03268208787793106,-0.2371851331689957,15.41796584695355,-0.03182770315395578,-0.03314856800589497,0.1441875234941996,0.0015684214948912117,0.10102528748695816,-3.534713902742883
temporal_tabular_backtest__small_ft_warmstart_er_train__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,test,TTT,temporal_tabular_backtest__small_ft_warmstart_er_train,long_short_130_30,0.1,absolute,0.01,,3,dd_speed_phase_vol_target,DD speed/phase + vol target,0.8763533315070859,0.30951468647588476,40,31,0.9377435999147185,0.0023443589997867967,107,0.39088160510489844,0.2203082653821661,1.7742484805408494,-0.03425050937282227,-0.33821042065595386,18.952679749696433,107,0.3374683835097214,0.17854253792640778,1.890128747071021,-0.03573427892286937,-0.19507184744375294,13.366819805509929,-0.05341322159517703,-0.04176572745575832,0.1158802665301717,-0.001483769550047101,0.14313857321220091,-5.585859944186504
