spec_id,validation_rank,split,model_family,score_label,rule,gate_type,q,threshold,z_threshold,net_sharpe,net_annualized_return,annualized_alpha,beta,alpha_tstat,alpha_beta_months
temporal_tabular_backtest__small_mlp_warmstart_er_train__long_short_130_30__q0.2__absolute__thr0.01__zna__cost25,10,validation,TTT,temporal_tabular_backtest__small_mlp_warmstart_er_train,long_short_130_30,absolute,0.2,0.01,,1.7433995725649967,0.4799224213110529,0.24301587710984307,1.5401431228219888,2.47876797611354,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,11,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.005,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.005__zna__cost25,11,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.005,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,12,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.01,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.01__zna__cost25,12,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.01,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.02__zna__cost25,13,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.02,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0.02__zna__cost25,13,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.02,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,14,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.0,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__absolute__thr0__zna__cost25,14,validation,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,absolute,0.1,0.0,,1.7332395213211835,0.17125457987106985,0.08821871069151653,0.6085136434825279,2.735741884192903,60
temporal_tabular_backtest__small_random_classifier__long_short_130_30__q0.1__none__thrna__zna__cost25,15,test,TTT,temporal_tabular_backtest__small_random_classifier,long_short_130_30,none,0.1,,,0.975250100887872,0.14886055299498402,0.0504329467673785,0.6667253300233971,1.2864896831407129,107
