model,split,rows,loss,accuracy,balanced_accuracy,macro_f1,precision_bottom,recall_bottom,precision_top,recall_top,classifier_monthly_rank_ic_mean,classifier_monthly_rank_ic_std,classifier_monthly_rank_ic_months,classifier_monthly_rank_ic_tstat,er_train_monthly_rank_ic_mean,er_train_monthly_rank_ic_std,er_train_monthly_rank_ic_months,er_train_monthly_rank_ic_tstat
temporal_tabular_transformer,train,1834902,0.8744393738059588,0.6078509914970935,0.37856100165578077,0.3364098120470708,0.40039898591081,0.18371522206391538,0.0,0.0,0.08036968330090925,0.14840555814644651,252,8.59690961520708,0.06962501402752222,0.11267543442991824,252,9.809261783363212
temporal_tabular_transformer,validation,405264,0.863338214711312,0.609629772197876,0.36003880604788524,0.30556126638305614,0.46941609806171125,0.09587824671320391,0.0,0.0,0.0880367145671035,0.08132466259260243,60,8.385272523816733,0.05069009242350038,0.09427433143586295,60,4.164906412674889
temporal_tabular_transformer,test,868926,0.8332306892702184,0.6199538280590062,0.3817938045585845,0.33902311866536694,0.5074271616949565,0.16802144636395538,0.0,0.0,0.09857674030046584,0.11039379895208318,107,9.236802611646063,0.07210055704262384,0.10123687576940976,107,7.367018743214936
