model_family,model,score,val_rank_ic,val_rank_ic_tstat,val_ic_hit_rate,val_top_bottom_spread,test_rank_ic,test_rank_ic_tstat,test_ic_hit_rate,test_top_bottom_spread
XGB,XGB,classifier,0.07477702744750117,5.975759394213301,0.8333333333333334,0.010321352630853653,0.07948290614055661,6.39794959104103,0.7570093457943925,0.011215709149837494
MLP,MLP,classifier,0.07356422897767814,6.343087478421236,0.85,0.009067797102034092,0.09571374348361597,7.734405707773625,0.7850467289719626,0.01038028858602047
FT-Transformer,FT-Transformer main,classifier,0.09359803096183472,5.972553325407591,0.7833333333333333,0.011131180450320244,0.09330136152204012,6.190525647764555,0.7383177570093458,0.007427685894072056
FT-Transformer,FT-Transformer small lr5e-5 seed362559,classifier,0.09247073140755173,6.147012643121891,0.7833333333333333,0.011081578209996223,0.09106700325963576,6.196007869255177,0.7476635514018691,0.007416761480271816
TTT,TTT tiny random,classifier,0.0975490340550868,7.534536896654379,0.8833333333333333,0.013242801651358604,0.10282189990222242,8.25360267330376,0.822429906542056,0.009410797618329525
TTT,TTT small random,classifier,0.09313225421719075,6.503703461364486,0.8166666666666667,0.012770269066095352,0.08967175349916962,7.052654125961673,0.8037383177570093,0.009322786703705788
