model,split,rows,loss,accuracy,balanced_accuracy,macro_f1,precision_bottom,recall_bottom,precision_top,recall_top,classifier_monthly_rank_ic_mean,classifier_monthly_rank_ic_std,classifier_monthly_rank_ic_months,classifier_monthly_rank_ic_tstat,er_train_monthly_rank_ic_mean,er_train_monthly_rank_ic_std,er_train_monthly_rank_ic_months,er_train_monthly_rank_ic_tstat
temporal_tabular_transformer,train,1834902,0.865157753236645,0.6091099143169499,0.3743198101399842,0.33013320919971073,0.4147744368794128,0.16147750211807269,0.0,0.0,0.09646759500917557,0.15085219419403156,252,10.151496993507,0.08971655234286638,0.12961358912736343,252,10.988092571933342
temporal_tabular_transformer,validation,405264,0.8583370093281973,0.6105970429152355,0.3618174829633621,0.3084467359759574,0.4727889201770013,0.1014651833945882,0.0,0.0,0.09121205589438068,0.09704035195546332,60,7.280739740400086,0.050566803152656006,0.10773724452881946,60,3.6355930084845918
temporal_tabular_transformer,test,868926,0.8272455184459242,0.6229736479285923,0.3889549720194914,0.3487929667756718,0.5083390242051748,0.1927008726967307,0.0,0.0,0.09477429623674777,0.1242069083316327,107,7.892901903783875,0.06622848481473693,0.09968015277338613,107,6.872709910696152
