model,split,rows,accuracy,balanced_accuracy,macro_f1,precision_bottom,precision_top,recall_bottom,recall_top,monthly_rank_ic_mean,monthly_rank_ic_std,monthly_rank_ic_months,monthly_rank_ic_tstat
logistic_classifier,train,1828568,0.6035761317052469,0.36684751044994574,0.32483339417616125,0.39368624394211543,0.2723164415558038,0.12702153018490372,0.01466205908566492,0.05836852418204409,0.10135082347194205,251,9.124063341761662
logistic_classifier,validation,405264,0.6063282206166845,0.35399585638520475,0.295885709788336,0.45212329278304353,0.30201342281879195,0.07471448656915222,0.002220495170423004,0.07038920354548653,0.08073224156492916,60,6.753589589488135
logistic_classifier,test,878515,0.6148261555010444,0.37586482143269856,0.3327330894282164,0.46868795277703246,0.2858517805582291,0.14908931589159416,0.005070393681071668,0.07329147343036334,0.10717368672267213,108,7.106850177028714
gb_classifier,train,1828568,0.6152420910789208,0.3942775089001714,0.3649863502382304,0.43910368916842657,0.545108074263625,0.20859621882278329,0.027372093150415285,0.19933123017847618,0.11551643827550323,251,27.338105676654788
gb_classifier,validation,405264,0.6128054798847171,0.37037135979551167,0.32285746419546013,0.45940351470091245,0.26262626262626265,0.1341234799338941,0.00032073819128332283,0.07383838175620218,0.08927163836327455,60,6.406846073306161
gb_classifier,test,878515,0.6222341109713551,0.38816905355332604,0.34877957169901525,0.5000757071043547,0.31922398589065254,0.18792354919287385,0.0030900378999123637,0.07997788606781978,0.1230281580139907,108,6.755807664892415
