metric_family,model,split,rows,mse,mae,pearson_corr,spearman_corr,directional_accuracy,monthly_rank_ic_mean,monthly_rank_ic_std,monthly_rank_ic_months,monthly_rank_ic_tstat,accuracy,balanced_accuracy,macro_f1,precision_bottom,precision_top,recall_bottom,recall_top
regression_or_ranking,gradient_boosting_reg,train,1828568,0.03147534877552317,0.10279518419525614,0.39441908879497445,0.35493969330510117,0.6124180232837937,0.1733511510409525,0.11966064608053337,251,22.95156198197921,,,,,,,
regression_or_ranking,gradient_boosting_reg,validation,405264,0.017772526637807092,0.07898573100683202,0.036250585026521585,0.009847573315835191,0.5157477594851752,0.028265964355309963,0.09460180354664102,60,2.314408501918989,,,,,,,
regression_or_ranking,gradient_boosting_reg,test,878515,0.037042763826859934,0.09485106430386134,0.0019027578052784324,-0.017644147720017437,0.5011354387802144,0.008169644559656738,0.10086291441035906,108,0.8417507786578997,,,,,,,
regression_or_ranking,gb_classifier,train,1828568,0.039377450972705605,0.11846630298484824,0.1553850223821511,0.160307611679533,0.5422379698211934,0.19933123017847618,0.11551643827550323,251,27.338105676654788,,,,,,,
regression_or_ranking,gb_classifier,validation,405264,0.019388316199184234,0.08361958061118265,0.02981181928776999,0.06419030162339417,0.5279250069090765,0.07383838175620218,0.08927163836327455,60,6.406846073306161,,,,,,,
regression_or_ranking,gb_classifier,test,878515,0.03883109373733559,0.09810390104202694,0.008230559251947106,0.04645523631098188,0.5238829160572102,0.07997788606781978,0.1230281580139907,108,6.755807664892415,,,,,,,
classification,gb_classifier,train,1828568,,,,,,0.19933123017847618,0.11551643827550323,251,27.338105676654788,0.6152420910789208,0.3942775089001714,0.3649863502382304,0.43910368916842657,0.545108074263625,0.20859621882278329,0.027372093150415285
classification,gb_classifier,validation,405264,,,,,,0.07383838175620218,0.08927163836327455,60,6.406846073306161,0.6128054798847171,0.37037135979551167,0.32285746419546013,0.45940351470091245,0.26262626262626265,0.1341234799338941,0.00032073819128332283
classification,gb_classifier,test,878515,,,,,,0.07997788606781978,0.1230281580139907,108,6.755807664892415,0.6222341109713551,0.38816905355332604,0.34877957169901525,0.5000757071043547,0.31922398589065254,0.18792354919287385,0.0030900378999123637
