model,split,month,rank_ic
gradient_boosting_reg,train,1998-01-30,0.18343032686018257
gradient_boosting_reg,train,1998-02-27,0.01630515158707928
gradient_boosting_reg,train,1998-03-31,0.053300963148772286
gradient_boosting_reg,train,1998-04-30,0.2593530914489714
gradient_boosting_reg,train,1998-05-29,0.25974205704830955
gradient_boosting_reg,train,1998-06-30,0.20165197441055127
gradient_boosting_reg,train,1998-07-31,0.41604125271392983
gradient_boosting_reg,train,1998-08-31,0.1495872104651005
gradient_boosting_reg,train,1998-09-30,0.16986914814552714
gradient_boosting_reg,train,1998-10-30,0.07462507790853735
gradient_boosting_reg,train,1998-11-30,0.17564180582663402
gradient_boosting_reg,train,1998-12-31,0.2590176482611943
gradient_boosting_reg,train,1999-01-29,0.16911319579729905
gradient_boosting_reg,train,1999-02-26,-0.005436215767680097
gradient_boosting_reg,train,1999-03-31,0.07602777333636367
gradient_boosting_reg,train,1999-04-30,0.09543149106097804
gradient_boosting_reg,train,1999-05-28,0.11038688574016363
gradient_boosting_reg,train,1999-06-30,0.08496436967283738
gradient_boosting_reg,train,1999-07-30,0.1492537648652324
gradient_boosting_reg,train,1999-08-31,0.11471964719187126
gradient_boosting_reg,train,1999-09-30,0.15566806894294974
gradient_boosting_reg,train,1999-10-29,0.3125721103463912
gradient_boosting_reg,train,1999-11-30,0.2476825240907995
gradient_boosting_reg,train,1999-12-31,0.2860687443578966
gradient_boosting_reg,train,2000-01-31,0.40558790521025856
gradient_boosting_reg,train,2000-02-29,0.3271466712317271
gradient_boosting_reg,train,2000-03-31,0.5561893253569972
gradient_boosting_reg,train,2000-04-28,0.4171044113388891
gradient_boosting_reg,train,2000-05-31,0.30150395902345506
gradient_boosting_reg,train,2000-06-30,0.3213846729718134
gradient_boosting_reg,train,2000-07-31,0.14216061039582717
gradient_boosting_reg,train,2000-08-31,0.3579859058913407
gradient_boosting_reg,train,2000-09-29,0.3736749461858962
gradient_boosting_reg,train,2000-10-31,0.5783280028367346
gradient_boosting_reg,train,2000-11-30,0.40022189764804783
gradient_boosting_reg,train,2000-12-29,0.5190555889608724
gradient_boosting_reg,train,2001-01-31,0.5308738724301015
gradient_boosting_reg,train,2001-02-28,0.40353028639875
gradient_boosting_reg,train,2001-03-30,0.14964352187167226
gradient_boosting_reg,train,2001-04-30,0.07750886322748916
gradient_boosting_reg,train,2001-05-31,0.1699109139143586
gradient_boosting_reg,train,2001-06-29,0.32752050552235296
gradient_boosting_reg,train,2001-07-31,0.32932076877711713
gradient_boosting_reg,train,2001-08-31,0.4397668990847899
gradient_boosting_reg,train,2001-09-28,0.21006001006419675
gradient_boosting_reg,train,2001-10-31,0.2286789308258154
gradient_boosting_reg,train,2001-11-30,0.07177861237525172
gradient_boosting_reg,train,2001-12-31,0.1776997676927316
gradient_boosting_reg,train,2002-01-31,0.39856422140613323
gradient_boosting_reg,train,2002-02-28,0.15630802738969132
gradient_boosting_reg,train,2002-03-28,0.3374068971315632
gradient_boosting_reg,train,2002-04-30,0.24430687607513193
gradient_boosting_reg,train,2002-05-31,0.37571349522877306
gradient_boosting_reg,train,2002-06-28,0.31904578585018345
gradient_boosting_reg,train,2002-07-31,0.1461528037875558
