model,split,MthCalDt,rank_ic_t,num_obs
mlp_classifier,test,2015-12-31,0.20875592642375967,7175
mlp_classifier,test,2016-01-29,0.0409922081254771,7146
mlp_classifier,test,2016-02-29,-0.02734950535222506,7134
mlp_classifier,test,2016-03-31,-0.1669179078553925,7115
mlp_classifier,test,2016-04-29,0.10607137587927908,7106
mlp_classifier,test,2016-05-31,0.08169927643596864,7115
mlp_classifier,test,2016-06-30,-0.03944687665343368,7119
mlp_classifier,test,2016-07-29,-0.02270718763161217,7119
mlp_classifier,test,2016-08-31,-0.028777535298109582,7082
mlp_classifier,test,2016-09-30,0.1686494724894419,7090
mlp_classifier,test,2016-10-31,0.09689869830752013,7107
mlp_classifier,test,2016-11-30,0.18016311026451629,7096
mlp_classifier,test,2016-12-30,-0.05154963339521236,7108
mlp_classifier,test,2017-01-31,0.12283713162278936,7126
mlp_classifier,test,2017-02-28,0.039222462149212774,7109
mlp_classifier,test,2017-03-31,0.1732905347672646,7110
mlp_classifier,test,2017-04-28,0.10659417570175814,7129
mlp_classifier,test,2017-05-31,0.04988150349428452,7144
mlp_classifier,test,2017-06-30,0.2002319614695358,7146
mlp_classifier,test,2017-07-31,0.10034726592576593,7157
mlp_classifier,test,2017-08-31,0.0017801717588968179,7132
mlp_classifier,test,2017-09-29,0.21937374701761223,7116
mlp_classifier,test,2017-10-31,0.09149418718997071,7152
mlp_classifier,test,2017-11-30,0.03234860001284513,7206
mlp_classifier,test,2017-12-29,0.11262774238470372,7205
mlp_classifier,test,2018-01-31,-0.034046705904008774,7242
mlp_classifier,test,2018-02-28,-0.01628701597629966,7264
mlp_classifier,test,2018-03-29,-0.0007595663638013777,7211
mlp_classifier,test,2018-04-30,-0.03905372928461077,7258
mlp_classifier,test,2018-05-31,0.06844162956777568,7270
mlp_classifier,test,2018-06-29,0.20280033084793642,7322
mlp_classifier,test,2018-07-31,0.04762510524867548,7355
mlp_classifier,test,2018-08-31,0.09930642059123554,7344
mlp_classifier,test,2018-09-28,0.10276661115983572,7373
mlp_classifier,test,2018-10-31,0.13749461746658426,7413
mlp_classifier,test,2018-11-30,0.1550250375616513,7412
mlp_classifier,test,2018-12-31,-0.1560140342180029,7407
mlp_classifier,test,2019-01-31,-0.0010851265809395652,7408
mlp_classifier,test,2019-02-28,0.09207928239279164,7390
mlp_classifier,test,2019-03-29,0.16569795457009515,7390
mlp_classifier,test,2019-04-30,0.09475260497454084,7396
mlp_classifier,test,2019-05-31,0.17814019269496117,7458
mlp_classifier,test,2019-06-28,0.16280900704766585,7471
mlp_classifier,test,2019-07-31,0.162724668136022,7494
mlp_classifier,test,2019-08-30,0.0355779550077665,7486
mlp_classifier,test,2019-09-30,0.10675108665251279,7500
mlp_classifier,test,2019-10-31,0.03358331188509543,7504
mlp_classifier,test,2019-11-29,0.013010576670600207,7501
mlp_classifier,test,2019-12-31,0.02456128765855939,7500
mlp_classifier,test,2020-01-31,-0.09219897074554712,7506
mlp_classifier,test,2020-02-28,0.08955185198357501,7506
mlp_classifier,test,2020-03-31,-0.024732299305986055,7475
mlp_classifier,test,2020-04-30,0.08712625570926177,7480
mlp_classifier,test,2020-05-29,-0.13920643258474324,7473
mlp_classifier,test,2020-06-30,0.20949240265919236,7519
mlp_classifier,test,2020-07-31,0.07098077905829478,7547
mlp_classifier,test,2020-08-31,0.12757977590749522,7574
mlp_classifier,test,2020-09-30,0.021532856527609216,7628
mlp_classifier,test,2020-10-30,-0.15235710260550106,7701
mlp_classifier,test,2020-11-30,0.024343468920761762,7773
mlp_classifier,test,2020-12-31,-0.23395670319779174,7875
mlp_classifier,test,2021-01-29,0.026797002959354745,7964
mlp_classifier,test,2021-02-26,0.24789552340799983,8055
mlp_classifier,test,2021-03-31,0.2535380508866892,8212
mlp_classifier,test,2021-04-30,0.16731370510864593,8360
mlp_classifier,test,2021-05-28,-0.1439599213419274,8479
mlp_classifier,test,2021-06-30,0.3887083143160162,8587
mlp_classifier,test,2021-07-30,0.12326000963469509,8722
mlp_classifier,test,2021-08-31,0.06848050621055651,8776
mlp_classifier,test,2021-09-30,0.27402308512595375,8872
mlp_classifier,test,2021-10-29,0.28783940832602956,8968
mlp_classifier,test,2021-11-30,0.4518613222057775,9068
mlp_classifier,test,2021-12-31,0.22112433126027659,9189
mlp_classifier,test,2022-01-31,0.052566777586895416,9272
mlp_classifier,test,2022-02-28,0.08280727205769586,9347
mlp_classifier,test,2022-03-31,0.38200516984005123,9382
mlp_classifier,test,2022-04-29,0.22301156016670126,9421
mlp_classifier,test,2022-05-31,0.03548541840532781,9432
mlp_classifier,test,2022-06-30,-0.059024869911598304,9457
mlp_classifier,test,2022-07-29,0.017087936137167848,9458
mlp_classifier,test,2022-08-31,0.35540119213001076,9469
mlp_classifier,test,2022-09-30,0.21606320580211308,9495
mlp_classifier,test,2022-10-31,0.1847570710894612,9483
mlp_classifier,test,2022-11-30,0.23871670840671044,9465
mlp_classifier,test,2022-12-30,-0.26196524878561933,9402
mlp_classifier,test,2023-01-31,0.17764593300661832,9376
mlp_classifier,test,2023-02-28,0.1828606960664896,9352
mlp_classifier,test,2023-03-31,0.1510281599387685,9324
mlp_classifier,test,2023-04-28,-0.01729615734575686,9298
mlp_classifier,test,2023-05-31,0.1676075510517974,9304
mlp_classifier,test,2023-06-30,-0.00021469580097829036,9291
mlp_classifier,test,2023-07-31,0.26574096541225417,9265
mlp_classifier,test,2023-08-31,0.21324950203209833,9278
mlp_classifier,test,2023-09-29,0.24568947370432107,9318
mlp_classifier,test,2023-10-31,0.07295842280839034,9331
mlp_classifier,test,2023-11-30,-0.11849456435533261,9327
mlp_classifier,test,2023-12-29,0.20652638208949697,9309
mlp_classifier,test,2024-01-31,0.06412824356868096,9367
mlp_classifier,test,2024-02-29,0.22956964272691155,9327
mlp_classifier,test,2024-03-28,0.14751756556104728,9334
mlp_classifier,test,2024-04-30,0.16461976677405218,9344
mlp_classifier,test,2024-05-31,0.16885829331446542,9372
mlp_classifier,test,2024-06-28,0.10065016369103472,9404
mlp_classifier,test,2024-07-31,0.24666536304628753,9436
mlp_classifier,test,2024-08-30,0.10561335054980193,9439
mlp_classifier,test,2024-09-30,0.06301696415151142,9542
mlp_classifier,test,2024-10-31,0.14906771036208444,9583
mlp_classifier,validation,2010-12-31,0.04954177580215681,6508
mlp_classifier,validation,2011-01-31,0.12048312711389536,6534
mlp_classifier,validation,2011-02-28,0.14871933578252688,6533
mlp_classifier,validation,2011-03-31,0.16847176370031355,6542
mlp_classifier,validation,2011-04-29,0.05675264112523904,6561
mlp_classifier,validation,2011-05-31,0.10717618009825723,6593
mlp_classifier,validation,2011-06-30,-0.032661103784591194,6612
mlp_classifier,validation,2011-07-29,0.11550347144467539,6621
mlp_classifier,validation,2011-08-31,0.05543126423260819,6621
